Player,Team,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Opponent
V Kohli ,India,16,16,0,872,123,54.50,923,94.47,1,9,0,73,9,Australia
SPD Smith ,Australia,15,13,0,701,131,53.92,684,102.48,3,3,2,74,11,India
KL Rahul ,India,16,16,4,691,97*,57.58,772,89.50,0,7,0,47,17,Australia
Fakhar Zaman ,Pakistan,10,10,2,655,180*,81.87,659,99.39,4,1,1,68,19,New Zealand
Babar Azam ,Pakistan,10,10,2,592,107,74.00,695,85.17,2,5,0,52,7,New Zealand
DA Warner ,Australia,12,12,1,586,128*,53.27,580,101.03,1,6,0,64,13,India
Shubman Gill ,India,8,8,3,574,208,114.80,506,113.43,2,2,0,58,21,New Zealand
AJ Finch ,Australia,10,10,1,567,114,63.00,642,88.31,2,3,1,56,13,India
RG Sharma ,India,12,12,0,564,119,47.00,578,97.57,1,4,1,45,21,Australia
S Dhawan ,India,10,9,0,563,143,62.55,566,99.46,2,3,0,75,5,Australia
H Klaasen ,South Africa,10,10,2,561,174,70.12,457,122.75,2,2,1,45,23,Australia
SD Hope ,West Indies,16,16,3,557,115,42.84,762,73.09,2,2,0,43,11,India
AJ Finch ,Australia,9,9,1,556,153*,69.50,649,85.67,2,3,2,37,19,Pakistan
Babar Azam ,Pakistan,10,10,0,555,158,55.50,545,101.83,2,3,1,57,7,England
SS Iyer ,India,10,9,0,507,80,56.33,509,99.60,0,7,0,39,15,West Indies
SD Hope ,West Indies,8,8,0,503,115,62.87,622,80.86,2,4,0,43,3,Sri Lanka
M Labuschagne ,Australia,10,10,1,496,124,55.11,558,88.88,2,1,1,49,2,South Africa
N Pooran ,West Indies,13,12,1,495,89,45.00,464,106.68,0,3,0,38,24,India
Imam-ul-Haq ,Pakistan,8,8,1,484,106,69.14,543,89.13,2,3,1,38,10,Australia
SS Iyer ,India,8,7,0,484,105,69.14,461,104.98,2,3,0,49,14,New Zealand
HE van der Dussen ,South Africa,11,10,1,467,134,51.88,497,93.96,2,2,1,39,3,England
Mushfiqur Rahim ,Bangladesh,9,9,1,464,125,58.00,562,82.56,1,3,0,28,2,Sri Lanka
M Labuschagne ,Australia,14,12,1,445,72,40.45,543,81.95,0,4,0,38,1,India
Q de Kock ,South Africa,10,10,1,443,107,49.22,463,95.68,1,3,0,49,7,England
Tamim Iqbal ,Bangladesh,10,10,1,442,80,49.11,569,77.68,0,4,0,47,3,West Indies
DA Warner ,Australia,11,11,0,434,122,39.45,391,110.99,2,1,1,50,14,South Africa
DA Miller ,South Africa,10,10,3,424,101,60.57,414,102.41,1,3,1,32,15,Australia
V Kohli ,India,11,9,1,421,120,52.62,428,98.36,2,2,2,51,1,West Indies
Q de Kock ,South Africa,11,11,0,415,109,37.72,461,90.02,1,2,1,45,11,Australia
V Kohli ,India,7,6,2,408,166*,102.00,353,115.58,2,1,0,40,9,Sri Lanka
DJ Mitchell ,New Zealand,8,8,0,398,129,49.75,422,94.31,2,0,0,29,6,Pakistan
RG Sharma ,India,11,10,1,394,159,43.77,413,95.39,1,2,0,51,8,West Indies
JM Bairstow ,England,8,8,0,389,124,48.62,375,103.73,2,1,1,36,20,India
SD Hope ,West Indies,7,7,0,386,109,55.14,486,79.42,1,3,1,28,6,Bangladesh
SS Iyer ,India,8,8,2,374,113*,62.33,368,101.63,1,3,0,42,5,South Africa
RG Sharma ,India,8,8,1,372,102,53.14,399,93.23,1,2,1,51,8,England
