Player,Team,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Opponent
Mohammad Rizwan ,Pakistan,18,17,2,618,98*,41.20,487,126.89,0,5,0,61,15,New Zealand
Babar Azam ,Pakistan,15,14,2,577,110*,48.08,409,141.07,1,4,0,56,14,England
N Pooran ,West Indies,18,18,1,535,67,31.47,410,130.48,0,4,1,40,31,India
Babar Azam ,Pakistan,15,14,2,520,101*,43.33,382,136.12,1,5,0,65,9,New Zealand
Mohammad Rizwan ,Pakistan,12,10,2,507,88*,63.37,369,137.39,0,6,0,39,16,England
DA Warner ,Australia,8,8,4,423,100*,105.75,286,147.90,1,4,0,51,6,Sri Lanka
MS Chapman ,New Zealand,14,12,4,413,104*,51.62,255,161.96,1,2,0,41,17,Pakistan
SA Yadav ,India,12,11,1,408,83,40.80,248,164.51,0,4,0,35,24,West Indies
PD Salt ,England,8,8,1,391,119,55.85,209,187.08,2,1,1,27,27,West Indies
Q de Kock ,South Africa,8,8,0,376,100,47.00,246,152.84,1,3,1,32,18,West Indies
R Powell ,West Indies,16,15,3,370,68*,30.83,253,146.24,0,2,0,23,23,India
FH Allen ,New Zealand,9,9,0,366,137,40.66,200,183.00,1,2,0,28,31,Pakistan
MS Wade ,Australia,11,10,5,362,80,72.40,215,168.37,0,2,0,37,15,India
AJ Finch ,Australia,13,13,2,361,64,32.81,285,126.66,0,2,1,33,13,Sri Lanka
JM Bairstow ,England,10,9,1,359,90,44.87,232,154.74,0,3,0,30,18,South Africa
RG Sharma ,India,12,12,1,359,71,32.63,256,140.23,0,3,1,33,20,West Indies
V Kohli ,India,8,8,2,358,94*,59.66,247,144.93,0,4,0,28,15,West Indies
DA Warner ,Australia,6,6,1,351,89*,70.20,207,169.56,0,4,0,46,12,West Indies
DA Miller ,South Africa,13,11,5,350,106*,58.33,209,167.46,1,2,1,20,24,India
Mohammad Rizwan ,Pakistan,8,8,3,348,104*,69.60,239,145.60,1,3,2,32,14,South Africa
DP Conway ,New Zealand,8,7,2,347,99*,69.40,241,143.98,0,3,0,31,9,Australia
SO Hetmyer ,West Indies,16,15,1,344,61,24.57,259,132.81,0,3,1,19,25,India
SA Yadav ,India,6,6,1,343,100,68.60,193,177.72,1,4,0,28,23,South Africa
JC Buttler ,England,6,6,3,342,77*,114.00,201,170.14,0,4,0,36,14,Australia
MR Marsh ,Australia,10,10,0,337,75,33.70,217,155.29,0,4,0,30,16,West Indies
BA King ,West Indies,13,12,1,336,85*,30.54,275,122.18,0,2,1,35,13,India
DJ Malan ,England,10,10,2,334,103*,41.75,236,141.52,1,2,1,34,12,New Zealand
N Pooran ,West Indies,13,13,1,326,82,27.16,247,131.98,0,2,0,19,21,England
KL Rahul ,India,8,8,1,322,65,46.00,234,137.60,0,3,0,26,13,New Zealand
MD Shanaka ,Sri Lanka,13,11,4,316,74*,45.14,184,171.73,0,2,0,20,21,India
HE van der Dussen ,South Africa,7,7,4,315,94*,105.00,210,150.00,0,2,0,16,18,England
RG Sharma ,India,8,8,1,313,65,44.71,210,149.04,0,4,0,23,18,New Zealand
KS Williamson ,New Zealand,9,9,3,311,59,51.83,248,125.40,0,3,0,28,6,Pakistan
DJ Mitchell ,New Zealand,11,11,2,309,72*,34.33,203,152.21,0,3,0,22,11,Pakistan
Q de Kock ,South Africa,9,8,2,306,79*,51.00,218,140.36,0,4,0,28,13,India
P Nissanka ,Sri Lanka,10,10,0,297,73,29.70,275,108.00,0,1,0,26,4,Australia
RR Pant ,India,12,12,4,295,65*,36.87,198,148.98,0,2,2,26,11,West Indies
