Player,Team,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Opponent
A Zampa ,Australia,17,17,152.0,1,840,27,4/45,31.11,5.52,33.7,2,0,India
Mohammed Shami ,India,13,13,103.4,4,659,24,5/51,27.45,6.35,25.9,1,1,Australia
A Zampa ,Australia,7,7,65.3,2,294,24,4/31,12.25,4.48,16.3,3,0,England
PJ Cummins ,Australia,13,13,117.4,4,650,20,5/70,32.50,5.52,35.3,0,1,India
JJ Bumrah ,India,14,14,133.3,8,733,19,3/61,38.57,5.49,42.1,0,0,Australia
Mohammed Siraj ,India,6,6,41.4,7,146,19,6/21,7.68,3.50,13.1,1,1,Sri Lanka
SN Thakur ,India,10,10,71.3,2,418,19,4/37,22.00,5.84,22.5,1,0,West Indies
Mustafizur Rahman ,Bangladesh,10,10,74.0,4,365,18,4/43,20.27,4.93,24.6,1,0,West Indies
MA Starc ,Australia,12,12,109.5,1,729,18,5/53,40.50,6.63,36.6,0,1,India
TA Boult ,New Zealand,6,6,60.0,9,268,17,4/38,15.76,4.46,21.1,3,0,Australia
AS Joseph ,West Indies,10,10,90.0,4,520,17,2/35,30.58,5.77,31.7,0,0,India
Kuldeep Yadav ,India,14,14,124.0,2,758,17,3/56,44.58,6.11,43.7,0,0,Australia
Mehidy Hasan Miraz ,Bangladesh,10,10,84.4,6,356,17,4/25,20.94,4.20,29.8,2,0,West Indies
Mohammed Shami ,India,5,5,45.0,2,261,17,7/57,15.35,5.80,15.8,0,2,New Zealand
MA Starc ,Australia,8,8,75.4,3,430,17,4/43,25.29,5.68,26.7,2,0,England
CR Woakes ,England,8,8,77.3,1,361,17,4/54,21.23,4.65,27.3,1,0,Australia
A Zampa ,Australia,9,9,87.4,1,473,17,4/38,27.82,5.39,30.9,3,0,Pakistan
RA Jadeja ,India,16,15,142.2,3,742,16,3/28,46.37,5.21,53.3,0,0,Australia
Kuldeep Yadav ,India,10,10,78.0,6,373,16,4/6,23.31,4.78,29.2,1,0,West Indies
AU Rashid ,England,9,9,80.0,1,470,16,3/29,29.37,5.87,30.0,0,0,South Africa
MA Starc ,Australia,4,4,37.1,3,163,16,5/46,10.18,4.38,13.9,0,2,West Indies
YS Chahal ,India,7,7,56.5,0,309,15,4/17,20.60,5.43,22.7,2,0,West Indies
JR Hazlewood ,Australia,8,8,75.3,3,437,15,3/38,29.13,5.78,30.2,0,0,India
L Ngidi ,South Africa,6,6,47.0,3,222,15,6/58,14.80,4.72,18.8,1,1,Australia
AS Joseph ,West Indies,6,6,60.0,1,306,14,4/65,21.85,5.10,25.7,1,0,Sri Lanka
L Ngidi ,South Africa,9,8,64.0,3,413,14,4/62,29.50,6.45,27.4,1,0,England
K Rabada ,South Africa,6,6,49.5,2,298,14,3/33,21.28,5.97,21.3,0,0,Australia
CR Woakes ,England,6,6,47.3,3,310,14,5/54,22.14,6.52,20.3,1,1,Pakistan
Mohammed Shami ,India,5,5,41.0,3,208,13,5/69,16.00,5.07,18.9,1,1,England
Mohammed Shami ,India,7,7,50.5,4,272,13,4/16,20.92,5.35,23.4,1,0,West Indies
Naseem Shah ,Pakistan,5,5,47.0,2,235,13,5/57,18.07,5.00,21.6,0,1,New Zealand
Shaheen Shah Afridi ,Pakistan,4,4,38.0,3,227,13,5/54,17.46,5.97,17.5,1,1,Australia
T Shamsi ,South Africa,7,7,63.5,0,331,13,4/61,25.46,5.18,29.4,1,0,Australia
TA Boult ,New Zealand,4,4,36.0,3,150,12,4/30,12.50,4.16,18.0,1,0,West Indies
JJ Bumrah ,India,4,4,34.1,6,144,12,6/19,12.00,4.21,17.0,0,1,England
PJ Cummins ,Australia,6,6,46.4,3,212,12,4/35,17.66,4.54,23.3,1,0,Sri Lanka
MJ Henry ,New Zealand,5,5,48.2,6,206,12,4/27,17.16,4.26,24.1,2,0,Bangladesh
Kuldeep Yadav ,India,8,8,56.3,2,275,12,4/43,22.91,4.86,28.2,1,0,Sri Lanka
KA Maharaj ,South Africa,9,9,83.1,5,335,12,4/33,27.91,4.02,41.5,1,0,Australia
Mohammad Wasim ,1) ,7,7,52.3,3,298,12,3/40,24.83,5.67,26.2,0,0,New Zealand
A Nortje ,South Africa,5,4,33.0,1,232,12,4/53,19.33,7.03,16.5,2,0,England
