Player,Team,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Opponent
Haris Rauf ,Pakistan,16,16,62.3,0,527,32,4/18,16.46,8.43,11.7,3,0,New Zealand
AU Rashid ,England,13,13,47.2,1,271,24,4/2,11.29,5.72,11.8,1,0,West Indies
JO Holder ,West Indies,12,12,45.0,1,393,22,5/27,17.86,8.73,12.2,1,1,England
Shaheen Shah Afridi ,Pakistan,15,15,57.2,1,483,22,3/34,21.95,8.42,15.6,0,0,New Zealand
TG Southee ,New Zealand,12,12,46.4,1,323,21,4/21,15.38,6.92,13.3,2,0,Pakistan
L Ngidi ,South Africa,9,9,31.0,0,298,19,5/39,15.68,9.61,9.7,0,1,England
MJ Santner ,New Zealand,11,11,37.0,0,290,17,3/23,17.05,7.83,13.0,0,0,England
Haris Rauf ,Pakistan,12,12,47.0,0,411,16,3/32,25.68,8.74,17.6,0,0,England
AJ Hosein ,West Indies,11,11,41.0,0,300,16,4/30,18.75,7.31,15.3,1,0,England
T Shamsi ,South Africa,10,10,37.0,0,322,16,5/24,20.12,8.70,13.8,0,1,England
JR Hazlewood ,Australia,8,8,32.0,2,174,15,4/12,11.60,5.43,12.8,2,0,Sri Lanka
CJ Jordan ,England,9,9,34.5,1,328,15,4/27,21.86,9.41,13.9,1,0,India
AU Rashid ,England,14,13,50.0,1,415,15,4/35,27.66,8.30,20.0,1,0,Pakistan
KW Richardson ,Australia,10,10,37.0,0,296,15,4/30,19.73,8.00,14.8,1,0,Sri Lanka
IS Sodhi ,New Zealand,16,15,52.2,0,422,15,2/22,28.13,8.06,20.9,0,0,Pakistan
Arshdeep Singh ,India,10,10,34.1,0,269,14,3/12,19.21,7.87,14.6,0,0,West Indies
PW Hasaranga ,Sri Lanka,5,5,20.0,0,127,14,3/21,9.07,6.35,8.5,0,0,Pakistan
AR Patel ,India,8,8,30.0,0,187,14,3/16,13.35,6.23,12.8,0,0,Australia
MJ Santner ,New Zealand,9,9,32.3,0,244,14,4/31,17.42,7.50,13.9,1,0,Australia
Shadab Khan ,Pakistan,10,10,38.0,0,340,14,3/34,24.28,8.94,16.2,0,0,England
IS Sodhi ,New Zealand,9,9,31.4,0,290,14,4/28,20.71,9.15,13.5,1,0,Australia
IS Sodhi ,New Zealand,13,13,46.0,0,342,14,3/26,24.42,7.43,19.7,0,0,India
PW Hasaranga ,Sri Lanka,10,9,35.0,0,262,13,4/9,20.15,7.48,16.1,1,0,India
JR Hazlewood ,Australia,9,9,35.0,2,284,13,4/39,21.84,8.11,16.1,1,0,West Indies
Mahedi Hasan ,Bangladesh,10,10,36.0,0,238,13,2/12,18.30,6.61,16.6,0,0,New Zealand
IS Sodhi ,New Zealand,11,11,37.0,0,352,13,3/33,27.07,9.51,17.0,0,0,England
TG Southee ,New Zealand,8,7,26.0,0,181,13,3/15,13.92,6.96,12.0,0,0,Bangladesh
TG Southee ,New Zealand,10,10,38.3,0,330,13,3/16,25.38,8.57,17.7,0,0,India
PW Hasaranga ,Sri Lanka,9,9,29.0,0,299,12,4/33,24.91,10.31,14.5,1,0,Australia
OC McCoy ,West Indies,9,9,31.0,1,291,12,6/17,24.25,9.38,15.5,0,1,India
Shoriful Islam ,Bangladesh,9,9,30.3,0,274,12,3/26,22.83,8.98,15.2,0,0,New Zealand
HR Walsh ,West Indies,6,6,22.0,0,158,12,3/23,13.16,7.18,11.0,0,0,Australia
A Zampa ,Australia,8,8,32.0,0,179,12,3/14,14.91,5.59,16.0,0,0,Sri Lanka
TA Boult ,New Zealand,9,9,33.0,0,259,11,2/18,23.54,7.84,18.0,0,0,Australia
PJ Cummins ,Australia,7,7,28.0,0,211,11,2/23,19.18,7.53,15.2,0,0,Sri Lanka
PW Hasaranga ,Sri Lanka,6,5,20.0,0,94,11,3/12,8.54,4.70,10.9,0,0,West Indies
MJ Henry ,New Zealand,8,7,27.0,0,220,11,3/32,20.00,8.14,14.7,0,0,Pakistan
JO Holder ,West Indies,14,14,54.4,1,507,11,2/19,46.09,9.27,29.8,0,0,India
Kuldeep Yadav ,India,6,6,24.0,1,149,11,3/12,13.54,6.20,13.0,0,0,West Indies
AF Milne ,New Zealand,7,6,24.0,0,251,11,4/33,22.81,10.45,13.0,1,0,Pakistan
Ravi Bishnoi ,India,7,7,26.4,0,176,11,4/16,16.00,6.60,14.5,1,0,West Indies
T Shamsi ,South Africa,8,8,31.0,0,208,11,4/25,18.90,6.70,16.9,1,0,Pakistan
R Shepherd ,West Indies,8,8,27.0,0,271,11,4/31,24.63,10.03,14.7,1,0,India
A Zampa ,Australia,10,10,32.3,0,308,11,4/34,28.00,9.47,17.7,1,0,New Zealand
A Zampa ,Australia,11,11,42.0,0,348,11,3/26,31.63,8.28,22.9,0,0,West Indies
DJ Bravo ,West Indies,6,6,23.0,0,154,10,4/19,15.40,6.69,13.8,1,0,South Africa
SM Curran ,England,7,7,27.0,0,184,10,3/12,18.40,6.81,16.2,0,0,Pakistan
JR Hazlewood ,Australia,5,5,17.4,0,93,10,3/24,9.30,5.26,10.6,0,0,Bangladesh
B Kumar ,India,12,12,40.0,1,297,10,2/19,29.70,7.42,24.0,0,0,West Indies
KA Maharaj ,South Africa,10,10,30.0,0,256,10,2/23,25.60,8.53,18.0,0,0,India
Mohammad Wasim ,Pakistan,6,6,21.0,0,124,10,3/24,12.40,5.90,12.6,0,0,Bangladesh
Mohammad Wasim ,Pakistan,7,7,18.2,0,192,10,4/40,19.20,10.47,11.0,1,0,West Indies
Mustafizur Rahman ,Bangladesh,8,8,27.2,1,180,10,4/12,18.00,6.58,16.4,1,0,New Zealand
Nasum Ahmed ,Bangladesh,8,8,24.0,2,151,10,4/10,15.10,6.29,14.4,1,0,New Zealand
L Ngidi ,South Africa,5,5,15.3,0,155,10,4/29,15.50,10.00,9.3,1,0,India
AY Patel ,New Zealand,5,5,20.0,0,73,10,4/16,7.30,3.65,12.0,1,0,Bangladesh
AL Phehlukwayo ,South Africa,6,6,22.1,0,238,10,3/39,23.80,10.73,13.3,0,0,England
K Rabada ,South Africa,8,8,30.0,0,286,10,3/37,28.60,9.53,18.0,0,0,West Indies
TG Southee ,New Zealand,11,11,40.0,0,361,10,2/25,36.10,9.02,24.0,0,0,England
MA Starc ,Australia,7,7,28.0,0,197,10,3/26,19.70,7.03,16.8,0,0,Sri Lanka
A Zampa ,Australia,5,5,20.0,0,119,10,5/19,11.90,5.95,12.0,0,1,Bangladesh
